wordnetid,word,pos,polarity,subjectivity,intensity,confidence,similar word,polarity of similar,subjectivity similar,intensity similar,proposed polarity,proposed subjectivity,intensity,synonym,antonym
n-15236338,millisecond,NN,#,#,#,#,good,0.7,0.4,1,0.7,0.4,1,#,#
n-15235126,second,NN,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
n-15234764,minute,NN,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
n-15227846,hour,NN,#,#,#,#,slow,-0.4,0.7,1,-0.4,0.7,1,#,#
n-15155220,day,NN,#,#,#,#,slow,-0.4,0.7,1,-0.4,0.7,1,#,#
n-15209413,month,NN,#,#,#,#,slow,-0.4,0.7,1,-0.4,0.7,1,#,#
n-15203791,year,NN,#,#,#,#,slow,-0.4,0.7,1,-0.4,0.7,1,#,#
n-15204983,decade,NN,#,#,#,#,slow,-0.4,0.7,1,-0.4,0.7,1,#,#
n-15206097,half-century,NN,#,#,#,#,slow,-0.4,0.7,1,-0.4,0.7,1,#,#
n-15205532,century,NN,#,#,#,#,slow,-0.4,0.7,1,-0.4,0.7,1,#,#
n-13851067,index,NN,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
n-05203397,capacity,NN,#,#,#,#,useful,0.3,0,1,0.2,0,1,#,#
n-15282696,speed,NN,#,#,#,#,good,0.7,0.4,1,0.7,0.4,1,#,#
n-07357388,improvement,NN,#,#,#,#,better,0.5,0.5,1,0.5,0.2,1,#,#
n-05022457,flexibility,NN,#,#,#,#,useful,0.3,0,1,0.3,0.1,1,#,#
n-14589223,solution,NN,#,#,#,#,unanswered,-0.1,0.2,1,0.1,0.2,1,#,#
n-06746005,answer,NN,#,#,#,#,unanswered,-0.1,0.2,1,0.1,0.2,1,solution ,#
n-05704694,focus,NN,#,#,#,#,unfocused,-0.4,0.8,1,0.4,0.8,1,#,#
n-05150129,usability,NN,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
n-13820993,efficiency,NN,#,#,#,#,useful,0.3,0,1,0.5,0.5,1,#,#
#,non-locking,NN,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
n-02934888,cache,NN,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
n-04076533,replica,NN,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
#,anti-entropy,NN,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
#,sharding,NN,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
n-05814650,issue,NN,#,#,#,#,failure,-0.4,0.3,1,-0.4,0.3,1,#,#
n-13912992,bottleneck,NN,#,#,#,#,failure,-0.4,0.3,1,-0.4,0,1,#,#
#,bottle-neck,NN,#,#,#,#,failure,-0.4,0.3,1,-0.4,0,1,#,#
n-13275847,cost,NN,#,#,#,#,slow,-0.4,0.7,1,-0.4,0.5,1,#,#
n-01160342,penalty,NN,#,#,#,#,slow,-0.4,0.7,1,-0.4,0.7,1,#,#
n-15272029,delay,NN,#,#,#,#,slow,-0.4,0.7,1,-0.4,0.7,1,#,#
n-00271263,degradation,NN,#,#,#,#,slow,-0.4,0.7,1,-0.4,0.7,1,#,#
n-08425303,traffic,NN,#,#,#,#,slow,-0.4,0.7,1,-0.4,0.7,1,#,#
n-00070965,fault,NN,#,#,#,#,failure,-0.4,0.3,1,-0.4,0.3,1,#,#
n-14410605,problem,NN,#,#,#,#,complicated,-0.5,1,1,-0.5,1,1,#,#
n-13936676,nightmare,NN,#,#,#,#,awful,-1,1,1,-1,1,1,#,#
n-10167252,heavyweight,NN,#,#,#,#,heavy,-0.2,0.5,1,-0.2,0.5,1,#,#
n-05648953,inefficiency ,NN,#,#,#,#,slow,-0.2,0.2,1,-0.5,0.5,1,#,#
n-05208291,inefficacy,NN,#,#,#,#,slow,-0.2,0.2,1,-0.5,0.5,1,#,#
n-07420770,damage,NN,#,#,#,#,failure,-0.4,0.3,1,-0.4,0.3,1,#,#
n-13299357,payoff,NN,#,#,#,#,expensive,-0.5,0.7,1,-0.3,0.5,1,#,#
n-11410625,consequence,NN,#,#,#,#,failure,-0.4,0.3,1,-0.4,0.3,1,#,#
n-07951464,aggregation,NN,#,#,#,#,misplased,-0.2,0.2,1,-0.2,0,1,#,#
n-03682487,lock,NN,#,#,#,#,slow,-0.2,0.2,1,-0.2,0,1,#,#
n-14015361,deadlock,NN,#,#,#,#,slow,-0.2,0.2,1,-0.2,0,1,#,#
n-15146260,latency,NN,#,#,#,#,failure,-0.4,0.3,1,-0.1,0,1,#,#
n-09860248,blocker,NN,#,#,#,#,failure,-0.4,0.3,1,-0.4,0.3,1,#,#
n-04429756 ,throughput,NN,#,#,#,#,useful,0.3,0,1,-0.1,0,1,#,#
n-07355887,decrease,NN,#,#,#,#,decreased,-0.4,0.7,1,-0.5,0.5,1,#,#
n-05033410,tolerance,NN,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
n-07479926,affect,NN,#,#,#,#,decreased,-0.4,0.7,1,-0.2,0.3,1,#,#
n-05155821,advantage,NN,#,#,#,#,better,0.5,0.5,1,0.5,0.5,1,#,#
n-14446493,convenience,NN,#,#,#,#,better,0.5,0.5,1,0.5,0.5,1,#,#
n-05161614,disadvantage,NN,#,#,#,#,unpleasant,-0.6,1,1,-0.6,1,1,#,#
n-00958896,conflict,NN,#,#,#,#,FALSE,-0.4,0.5,1,-0.4,0.5,1,#,#
n-05124057,limit,NN,#,#,#,#,limited,-0.5,0.5,1,-0.5,1,1,#,#
#,single-threaded,NN,#,#,#,#,misplased,-0.2,0.2,1,-0.2,0,1,#,#
n-05846355,limitation,NN,#,#,#,#,limited,-0.5,0.5,1,-0.5,1,1,#,#
n-05145118,price,NN,#,#,#,#,expensive,-0.5,0.7,1,-0.5,0.7,1,#,#
n-04735233,variability,NN,#,#,#,#,unpredictable,-0.5,1,1,-0.5,1,1,#,#
n-04766275,complexity,NN,#,#,#,#,complex,-0.3,0.4,1,-0.3,0.4,1,#,#
n-00329819,overflow,NN,#,#,#,#,unpleasant,-0.6,1,1,-0.6,0,1,#,#
n-03865171,overload,NN,#,#,#,#,unpleasant,-0.6,1,1,-0.6,0,1,#,#
n-07191279,demand,NN,#,#,#,#,unpleasant,-0.6,1,1,-0.6,0,1,#,#
v-00137313,affect,VB,#,#,#,#,slow,-0.2,0.5,1,-0.2,0.3,1,#,#
#,affecting,VBG,#,#,#,#,slow,-0.2,0.5,1,-0.2,0.3,1,#,#
#,affected,VBN,#,#,#,#,slow,-0.2,0.5,1,-0.2,0.3,1,#,#
v-01307896,degrade,VB,#,#,#,#,unpleasant,-0.6,1,1,-0.6,1,1,#,#
#,degrading,VBG,#,#,#,#,unpleasant,-0.6,1,1,-0.6,1,1,#,#
#,degraded,VBN,#,#,#,#,unpleasant,-0.6,1,1,-0.6,1,1,#,#
#,degrades,VBZ,#,#,#,#,unpleasant,-0.6,1,1,-0.6,1,1,#,#
v-00811375,avoid,VB,#,#,#,#,distant,-0.2,0.5,1,-0.2,0.5,1,#,#
#,avoiding,VBG,#,#,#,#,distant,-0.2,0.5,1,-0.2,0.5,1,#,#
#,avoided,VBN,#,#,#,#,distant,-0.2,0.5,1,-0.2,0.5,1,#,#
v-00233335,throttle,VB,#,#,#,#,unpleasant,-0.6,1,1,-0.6,1,1,#,#
#,throttling,VBG,#,#,#,#,unpleasant,-0.6,1,1,-0.6,1,1,#,#
#,throttled,VBN,#,#,#,#,unpleasant,-0.6,1,1,-0.6,1,1,#,#
v-01348174,lock,VB,#,#,#,#,slow,-0.2,0.2,1,-0.2,0.2,1,#,#
#,locking,VBG,#,#,#,#,slow,-0.2,0.2,1,-0.2,0.2,1,#,#
#,locked,VBN,#,#,#,#,slow,-0.2,0.2,1,-0.2,0.2,1,#,#
n-05832264,worry,NN,#,#,#,#,disturbing,-0.5,0.8,1,-0.5,0.8,1,#,#
v-01767163,worry,VB,#,#,#,#,disturbing,-0.5,0.8,1,-0.5,0.8,1,#,#
#,worrying,VBG,#,#,#,#,disturbing,-0.5,0.8,1,-0.5,0.8,1,#,#
#,worried,VBN,#,#,#,#,disturbing,-0.5,0.8,1,-0.5,0.8,1,#,#
v-00619610,confuse,VB,#,#,#,#,limited,-0.07,0.1,1,-0.2,0.4,1,#,#
#,confusing,VBG,#,#,#,#,limited,-0.07,0.1,1,-0.2,0.4,1,#,#
#,confused,VBN,#,#,#,#,limited,-0.07,0.1,1,-0.2,0.4,1,#,#
v-00429060,reduce,VB,#,#,#,#,limited,-0.07,0.1,1,-0.1,0.1,1,#,#
#,reducing,VBG,#,#,#,#,limited,-0.07,0.1,1,-0.1,0.1,1,#,#
#,reduced,VBN,#,#,#,#,limited,-0.07,0.1,1,-0.1,0.1,1,#,#
v-01343482,impact,VB,#,#,#,#,unpleasant,-0.6,1,1,-0.1,0.3,1,#,#
#,impacting,VBG,#,#,#,#,unpleasant,-0.6,1,1,-0.1,0.3,1,#,#
#,impacted,VBN,#,#,#,#,unpleasant,-0.6,1,1,-0.1,0.3,1,#,#
#,impacts,VBZ,#,#,#,#,unpleasant,-0.6,1,1,-0.1,0.3,1,#,#
v-00402539,complicate,VB,#,#,#,#,unpleasant,-0.6,1,1,-0.5,0.6,1,#,#
#,complicating,VBG,#,#,#,#,unpleasant,-0.6,1,1,-0.5,0.6,1,#,#
#,complicated,VBN,#,#,#,#,unpleasant,-0.6,1,1,-0.5,0.6,1,#,#
v-02290461,benefit,VB,#,#,#,#,pleasant,0.6,1,1,0.6,1,1,#,#
#,benefiting,VBG,#,#,#,#,pleasant,0.6,1,1,0.6,1,1,#,#
#,benefited,VBN,#,#,#,#,pleasant,0.6,1,1,0.6,1,1,#,#
v-00512877,enable,VB,#,#,#,#,certain,0.2,0.5,1,0.2,0.5,1,#,#
#,enabling,VBG,#,#,#,#,certain,0.2,0.5,1,0.2,0.5,1,#,#
#,enabled,VBN,#,#,#,#,certain,0.2,0.5,1,0.2,0.5,1,#,#
v-00890590,ensure,VB,#,#,#,#,certain,0.2,0.5,1,0.2,0.5,1,#,#
#,ensuring,VBG,#,#,#,#,certain,0.2,0.5,1,0.2,0.5,1,#,#
#,ensured,VBN,#,#,#,#,certain,0.2,0.5,1,0.2,0.5,1,#,#
v-02547586,help,VB,#,#,#,#,certain,0.2,0.5,1,0.4,0.3,1,#,#
#,helping,VBN,#,#,#,#,certain,0.2,0.5,1,0.4,0.3,1,#,#
#,helped,VBG,#,#,#,#,certain,0.2,0.5,1,0.4,0.3,1,#,#
v-00205885,improve,VB,#,#,#,#,better,0.5,0.5,1,0.5,0.5,1,#,#
#,improving,VBN,#,#,#,#,better,0.5,0.5,1,0.5,0.5,1,#,#
#,improved,VBG,#,#,#,#,better,0.5,0.5,1,0.5,0.5,1,#,#
v-02536557,influence,VB,#,#,#,#,certain,0.2,0.5,1,0.4,0.5,1,#,#
#,influenced,VBN,#,#,#,#,certain,0.2,0.5,1,0.4,0.5,1,#,#
#,influencing,VBG,#,#,#,#,certain,0.2,0.5,1,0.4,0.5,1,#,#
v-00428583,maximize,VB,#,#,#,#,good,0.7,0.4,1,0.7,0.4,1,#,#
#,maximizing,VBN,#,#,#,#,good,0.7,0.4,1,0.7,0.4,1,#,#
#,maximized,VBG,#,#,#,#,good,0.7,0.4,1,0.7,0.4,1,#,#
v-02554922,promote,VB,#,#,#,#,fit,0.4,0.4,1,0.4,0.4,1,#,#
#,promoting,VBN,#,#,#,#,fit,0.4,0.4,1,0.4,0.4,1,#,#
#,promoted,VBG,#,#,#,#,fit,0.4,0.4,1,0.4,0.4,1,#,#
v-02327200,provide,VB,#,#,#,#,fit,0.4,0.4,1,0.4,0.4,1,#,#
#,provided,VBN,#,#,#,#,fit,0.4,0.4,1,0.4,0.4,1,#,#
#,providing,VBG,#,#,#,#,fit,0.4,0.4,1,0.4,0.4,1,#,#
v-00158503,raise,VB,#,#,#,#,certain,0.2,0.5,1,0,0,1,#,#
#,raising,VBN,#,#,#,#,certain,0.2,0.5,1,0,0,1,#,#
#,raised,VBG,#,#,#,#,certain,0.2,0.5,1,0,0,1,#,#
v-00429060,reduce,VB,#,#,#,#,slow,-0.2,0.2,1,0,0,1,#,#
#,reducing,VBG,#,#,#,#,slow,-0.2,0.2,1,0,0,1,#,#
#,reduced,VBN,#,#,#,#,slow,-0.2,0.2,1,0,0,1,#,#
v-01474550,release,VB,#,#,#,#,gettable,0.1,0.1,1,0.1,0.1,1,#,#
#,releasing,VBG,#,#,#,#,gettable,0.1,0.1,1,0.1,0.1,1,#,#
#,released,VBN,#,#,#,#,gettable,0.1,0.1,1,0.1,0.1,1,#,#
v-02522864,manage,VB,#,#,#,#,normal,0.1,0.6,1,0.2,0.3,1,#,#
#,managing,VBG,#,#,#,#,normal,0.1,0.6,1,0.2,0.3,1,#,#
#,managed,VBN,#,#,#,#,normal,0.1,0.6,1,0.2,0.3,1,#,#
v-02436349,handle,VB,#,#,#,#,normal,0.1,0.6,1,0.2,0.3,1,#,#
#,handling,VBG,#,#,#,#,normal,0.1,0.6,1,0.2,0.3,1,#,#
#,handled,VBN,#,#,#,#,normal,0.1,0.6,1,0.2,0.3,1,#,#
v-00897564,address,VB,#,#,#,#,unfocused,-0.4,0.8,1,0.3,0.4,1,#,#
#,addressed,VBN,#,#,#,#,unfocused,-0.4,0.8,1,0.3,0.4,1,#,#
#,addressing,VBG,#,#,#,#,unfocused,-0.4,0.8,1,0.3,0.4,1,#,#
v-02556126,support,VB,#,#,#,#,supportive,0.5,1,1,0.5,0.2,1,#,#
#,supporting,VBN,#,#,#,#,supportive,0.5,1,1,0.5,0.2,1,#,#
#,supported,VBG,#,#,#,#,supportive,0.5,1,1,0.5,0.2,1,#,#
v-02163301,monitor,VB,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
#,monitoring,VBN,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
#,monitored,VBG,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
#,unaffect,VB,#,#,#,#,unaffected,-0.1,0.2,1,0.1,0.2,1,#,#
#,unaffecting,VBN,#,#,#,#,unaffected,-0.1,0.2,1,0.1,0.2,1,#,#
#,unaffected,VBG,unaffected,-0.1,0.2,1,unaffected,-0.1,0.2,1,0.1,0.2,1,#,#
v-00156601,increase,VB,#,#,#,#,better,0.5,0.5,1,0.5,0.5,1,#,#
#,increasing,VBG,#,#,#,#,better,0.5,0.5,1,0.5,0.5,1,#,#
#,increased,VBN,#,#,#,#,better,0.5,0.5,1,0.5,0.5,1,#,#
#,optimized,VBN,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
v-00172505,optimize,VB,#,#,#,#,useful,0.3,0,1,0.1,0,1,#,#
#,optimizing,VBG,#,#,#,#,useful,0.3,0,1,0.1,0,1,#,#
v-02560164,enforce,VB,#,#,#,#,gettable,0.1,0.1,1,0.1,0,1,#,#
#,enforcing,VBG,#,#,#,#,gettable,0.1,0.1,1,0.1,0,1,#,#
#,enforced,VBN,#,#,#,#,gettable,0.1,0.1,1,0.1,0,1,#,#
v-02526085,achieve,VB,#,#,#,#,gettable,0.1,0.1,1,0.3,0.4,1,#,#
#,achieving,VBG,#,#,#,#,gettable,0.1,0.1,1,0.3,0.4,1,#,#
v-00890100,guarantee,VB,#,#,#,#,secure,0.5,1,1,0.5,1,1,#,#
#,guarantees,VBZ,#,#,#,#,secure,0.5,1,1,0.5,1,1,#,#
#,guaranted,VBD,#,#,#,#,secure,0.5,1,1,0.5,1,1,#,#
#,achieved,VBN,#,#,#,#,gettable,0.1,0.1,1,0.3,0.4,1,#,#
v-02676054,concern,VB,#,#,#,#,unpleasant,-0.6,1,1,-0.6,1,1,#,#
#,concerned,VBN,#,#,#,#,unpleasant,-0.6,1,1,-0.6,1,1,#,#
#,blocking,VBG,#,#,#,#,failure,-0.4,0.3,1,-0.4,0.3,1,#,#
#,blocked,VBN,#,#,#,#,failure,-0.4,0.3,1,-0.4,0.3,1,#,#
#,indexed,VBN,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
#,indexing,VBG,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
v-02472817,index,VB,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
v-00233335,limit,VB,#,#,#,#,limited,-0.5,0.5,1,-0.5,,1,#,#
#,limiting,VBG,#,#,#,#,limited,-0.5,0.5,1,-0.5,1,1,#,#
#,limited,VBN,#,#,#,#,limited,-0.5,0.5,1,-0.5,,1,#,#
v-02152504,scan,VB,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
#,scanned,VBN,#,#,#,#,useful,0.3,0,1,0.3,,1,#,#
#,scanning,VBG,#,#,#,#,useful,0.3,0,1,0.3,,1,#,#
v-00875141,recommend,VB,#,#,#,#,appreciated,0.2,0.1,1,0.2,0.1,1,#,#
#,recommended,VBN,#,#,#,#,appreciated,0.2,0.1,1,0.2,0.1,1,#,#
#,recommending,VBG,#,#,#,#,appreciated,0.2,0.1,1,0.2,0.1,1,#,#
v-02637938,wait,VB,#,#,#,#,down,-0.1,0.1,1,-0.1,0.1,1,#,#
#,waited,VBD,#,#,#,#,down,-0.1,0.1,1,-0.1,0.1,1,#,#
#,waiting,VBG,#,#,#,#,down,-0.1,0.1,1,-0.1,0.1,1,#,#
v-01323958,kill,VB,#,#,#,#,killed,-0.2,0.5,1,-0.2,0.5,1,#,#
#,kills,VBZ,#,#,#,#,killed,-0.2,0.5,1,-0.2,0.5,1,#,#
v-00236592,restrict,VB,#,#,#,#,limited,-0.07,0.1,1,-0.07,0.1,1,#,#
#,restricting,VBG,#,#,#,#,limited,-0.07,0.1,1,-0.07,0.1,1,#,#
#,restricts,VBZ,#,#,#,#,limited,-0.07,0.1,1,-0.07,0.1,1,#,#
#,restricted,VBD,#,#,#,#,limited,-0.07,0.1,1,-0.07,0.1,1,#,#
a-01836350,impractical,JJ,#,#,#,#,unaffected,-0.1,0.2,1,-0.3,0.5,1,#,#
#,unpractical,JJ,#,#,#,#,unpleasant,-0.6,1,1,-0.6,0,1,#,#
a-02291843,unstable,JJ,#,#,#,#,supportive,0.5,1,1,-0.5,1,1,#,#
a-00840902,inefficient,JJ,#,#,#,#,supportive,0.5,1,1,-0.5,1,1,#,#
a-00930290,unexpected,JJ,0.1,1,0.9,########,unpredictable,-0.5,1,1,-0.5,1,1,#,#
a-02472563,overhead,JJ,#,#,#,#,useful,0.3,0,1,-0.3,0,1,#,#
a-00787357,overbearing,JJ,#,#,#,#,useful,0.3,0,1,-0.3,0,1,#,#
a-02786473,rabid,JJ,#,#,#,#,useful,0.3,0,1,-0.3,0,1,#,#
a-00964590,unreliable ,JJ,#,#,#,#,useful,0.3,0,1,-0.4,0,1,#,#
#,heavyweight,JJ,#,#,#,#,useful,0.3,0,1,-0.3,0.3,1,#,#
a-00064787,beneficial,JJ,#,#,#,#,good,0.7,0.4,1,0.5,0.4,1,#,#
a-01822563,feasible,JJ,#,#,#,#,possible,0,1,1,0,1,1,#,#
a-00839619,efficient,JJ,#,#,#,#,competent,0.5,0.5,1,0.7,1,1,#,#
a-00880207,increased,JJ,#,#,#,#,better,0.5,0.5,1,0.5,0.5,1,#,#
#,in-memory,JJ,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
#,optimized,JJ,#,#,#,#,useful,0.3,0,1,0.4,0.2,1,#,#
a-00979697,rapid,JJ,#,#,#,#,good,0.7,0.4,1,0.7,0.4,1,#,#
a-01024073,flexible,JJ,#,#,#,#,inflexible,-0.4,0.6,1,0.2,0.4,1,#,#
a-02504131,variable,JJ,#,#,#,#,unpredictable,-0.5,1,1,-0.5,1,1,#,#
a-01841544,predictable,JJ,#,#,#,#,certain,0.2,0.5,1,0.2,0.1,1,#,#
a-02290998,stable,JJ,#,#,#,#,certain,0.2,0.5,1,0.2,0.1,1,#,#
a-01370141,meet,JJ,#,#,#,#,fit,0.4,0.4,1,0.4,0.4,1,#,#
a-00979031,instantaneous,JJ,#,#,#,#,good,0.7,0.4,1,0.7,0.4,1,#,#
#,always-on,JJ,#,#,#,#,good,0.7,0.4,1,0.7,0.4,1,#,#
a-00507464,compatible,JJ,#,#,#,#,useful,0.3,0,1,0.4,0.2,1,#,#
a-0512487,competitive,JJ,#,#,#,#,good,0.7,0.4,1,0.4,0.5,1,#,#
a-00724081,reliable,JJ,#,#,#,#,certain,0.5,0.5,1,0.5,0.5,1,#,#
a-01652380,open,JJ,0,0.5,1,0.8,open-minded,0.4,0.7,1,0.4,0.7,1,#,#
a-01868724,professional,JJ,0.5,0.5,1,0.9,professional,0.5,0.5,1,0.5,0.5,1,#,#
#,high-performance,JJ,#,#,#,#,great,0.8,0.8,1,0.8,0.8,1,#,#
a-00976508,fast,JJ,0.2,0.4,1,0.8,good,0.7,0.4,1,0.7,0.4,1,#,#
a-00086528,faster,JJR,0.2,0.4,1,0.8,good,0.7,0.4,1,0.7,0.4,1,#,#
#,slower,JJR,#,#,#,#,slow,-0.4,0.7,1,-0.4,0.7,1,#,#
a-01212469,low,JJ,0,0.3,1,0.8,slow,-0.4,0.7,1,-0.4,0.7,1,#,#
#,lower,JJR,#,#,#,#,slow,-0.4,0.7,1,-0.4,0.7,1,#,#
a-00230076,lowest,JJS,#,#,#,#,slow,-0.4,0.7,1,-0.4,0.7,1,#,#
a-00086685,fastest,JJS,0.2,0.4,1,0.8,good,0.7,0.4,1,0.7,0.4,1,#,#
#,highest,JJS,0.25,0.5,1,0.9,higher,0.25,0.5,1,0.25,0.5,1,#,#
a-01288396,improved,JJ,#,#,#,#,better,0.5,0.5,1,0.5,0.5,1,#,#
#,lock-free,JJ,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
a-00880207,increased,JJ,#,#,#,#,better,0.5,0.5,1,0.5,0.5,1,#,#
a-02352650,supported,JJ,#,#,#,#,supportive,0.5,1,1,0.5,1,1,#,#
a-00979862,speedy,JJ,#,#,#,#,good,0.7,0.4,1,0.7,0.4,1,#,#
a-02436341,tolerant,JJ,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
r-00008997,absolutely,RB,#,#,#,#,very,0.2,0.3,1.3,0,1,2,#,#
r-00158309,exactly,RB,#,#,#,#,very,0.2,0.3,1.3,0.2,1,2,#,#
r-00008007,totally,RB,#,#,#,#,very,0.2,0.3,1.3,0,0.7,1.3,#,#
r-00019339,always,RB,#,#,#,#,very,0.2,0.3,1.3,0,0.7,1.3,#,#
r-00155621,generally,RB,#,#,#,#,very,0.2,0.3,1.3,0,0.2,1,#,#
r-00035058,often,RB,#,#,#,#,much,0.2,0.2,1,0,0.2,1,#,#
r-00195024,regularly,RB,#,#,#,#,usual,0,0,1,0,0.2,1,#,#
#,throughly,RB,#,#,#,#,definetely,0,1,2,0,1,2,#,#
r-00106921,usually,RB,#,#,#,#,usual,0,0,1,0,0,1.2,#,#
#,thoughtfully,RB,#,#,#,#,thoughtful,0.5,0.5,1,0,0.5,1,#,#
r-00008007,completely,RB,#,#,#,#,definetely,0,1,2,0,1,2,#,#
r-00037226,truly,RB,#,#,#,#,definetely,0,1,2,0,1,2,#,#
r-00495663,widely,RB,#,#,#,#,definetely,0,1,2,0,1,1.3,#,#
r-00010466,fully,RB,#,#,#,#,much,0.2,0.2,1,0,0.2,2,#,#
r-00035385,seldom,RB,#,#,#,#,usual,0,0,1,0,0.2,1.2,#,#
r-00020759,never,RB,#,#,#,#,very,0.2,0.3,1.3,-0.1,0,2,#,#
r-00144722,certainly,RB ,#,#,#,#,definetely,0,1,2,0,0,1.2,#,#
r-00085811,quickly,RB,#,#,#,#,agile,0.5,0.9,1,0.5,1,2,#,#
r-00120223,concurrently,RB,#,#,#,#,useful,0.3,0,1,0.3,0,1.3,#,#
r-00300247,possibly,RB,#,#,#,#,possible,0,1,1,0,0,0.7,#,#
r-00039941,apparently,RB,#,#,#,#,apparent,0,0.3,1,0,0.2,0.7,#,#
r-00007015,roughly,RB,#,#,#,#,rough,-0.1,0.4,1,0,0,0.7,#,#
r-00048138,eventually,RB,#,#,#,#,usual,0,0,1,0,0,0.9,#,#
r-00040719,unexpectedly,RB,#,#,#,#,unexpected,0.1,1,1,0,0,1.3,#,#
r-00509034,lightly,RB,#,#,#,#,apparent,0,0.3,1,0,0.3,1,#,#
